substance,product,year,month,title,text,date_published,description,language,isModified,url
Alectinib,"""Alecensa""",2017,5,Neue Arzneimittel treiben Roche an,"/dpa
Basel – Der Schweizer Pharmakonzern Roche bleibt dank neuer Medikamente im Aufwind. Konzernchef Severin Schwan sieht den Konzern damit nach neun Monaten weiter auf Kurs zu den – bereits zweimal angehobenen – Jahreszielen, wie aus einer heutigen Mitteilung des Unternehmens hervorgeht.
Der Pharmakonzern peilt im Gesamtjahr ein Umsatzplus im mittleren einstelligen Prozentbereich an, der bereinigte Gewinn je Aktie soll sogar um etwa 15 Prozent steigen, Dabei hatte Schwan ursprünglich auf ein Übergangsjahr eingestellt, doch einige neu zugelassene Medikamente entpuppen sich zunehmend als Motor.
Anzeige
Zwischen Januar und September legte der Umsatz um 7 Prozent auf knapp 42,1 Milliarden Schweizer Franken (36,7 Mrd Euro) zu. Den Schub verdankte Roche vor allem neu eingeführten Arzneimitteln wie Ocrevus (Multiple Sklerose) und den Krebsmedikamenten Perjeta, Alecensa und Tecentriq.
In einer Telefonkonferenz stellte Schwan klar, dass es bei Roche keine Pläne für einen Stellenabbau gebe. „Wir haben die Zahl unserer Mitarbeiter unter dem Strich recht konstant gehalten und planen das auch in Zukunft.“ © dpa/aerzteblatt.de",2018-10-17 00:00:00,Basel – Der Schweizer Pharmakonzern Roche bleibt dank neuer Medikamente im Aufwind. Konzernchef Severin Schwan sieht den Konzern damit nach neun Monaten weiter...,de,0,https://www.aerzteblatt.de/nachrichten/98565/Neue-Arzneimittel-treiben-Roche-an
Atezolizumab,"""Tecentriq""",2017,10,Durvalumab verlängert progressionsfreies Überleben im...,"/Nonwarit, stock.adobe.com
Tampa/Florida – Der PD-L1-Inhibitor Durvalumab, der verhindern soll, dass Tumore sich der natürlichen Immunabwehr entziehen, hat in einer Phase-3-Studie das progressionsfreie Überleben bei Patienten im fortgeschrittenen Stadium eines nicht kleinzelligen Bronchialkarzinoms (NSCLC) deutlich verlängert. Die im New England Journal of Medicine (2017; doi: 10.1056/NEJMoa1709937) publizierten Ergebnisse wurden auf der Jahrestagung der European Society for Medical Oncology (ESMO 2017) in Madrid positiv bewertet.
Bei einem Drittel aller Patienten mit NSCLC wird die Diagnose erst im Stadium 3 gestellt. Aufgrund eines Befalls mehrerer Lymphknoten wird dann in der Regel auf eine Resektion verzichtet. Die Patienten erhalten eine Chemoradio, die allerdings selten eine komplette Remission erzielt.
Anzeige
Die PACIFIC-Studie hat untersucht, ob in dieser Situation eine Behandlung mit dem PD-L1-Inhibitor Durvalumab die Situation der Patienten verbessern kann. An 235 Zentren in 26 Ländern (mit deutscher Beteiligung) wurden 709 Patienten auf eine Konsoli­die­rungstherapie mit Durvalumab (10 mg pro Kilogramm Körpergewicht i.v. alle zwei Wochen) oder auf Placebo randomisiert.
Die beiden primären Endpunkte der Studie waren das progressionsfreie Überleben und das Gesamtüberleben. Der erste Endpunkt wurde klar erreicht: Während es in der Placebogruppe median nach 5,6 Monaten zur erneuten Tumorprogression kam, war dies in der Durvalumab-Gruppe erst nach median 16,8 Monaten der Fall. Scott Antonia vom H. Lee Moffitt Cancer Center in Tampa/Florida und Mitarbeiter ermittelten eine Hazard Ratio für eine Krankheits-Progression oder den Tod des Patienten von 0,52; die mit einem 95-Prozent-Konfidenzintervall von 0,42 bis 0,65 signifikant war.
Nach zwölf Monaten waren im Durvalumab-Arm noch 55,9 Prozent der Patienten ohne Tumorprogression gegenüber 35,3 Prozent der Patienten in der Placebo-Gruppe. Nach 18 Monaten waren es 44,2 Prozent gegenüber 27,0 Prozent. Die Response-Rate war in der Durvalumab-Gruppe mit 28,4 Prozent gegenüber 16,0 in der Placebogruppe ebenfalls höher, und die mittlere Dauer der Remission war länger: Nach 18 Monaten waren 72,8 Prozent der Patienten, die auf die Behandlung angesprochen hatten, weiterhin in Remission gegenüber 46,8 Prozent in der Vergleichsgruppe.
Eine lebensverlängernde Wirkung konnte (noch) nicht dokumentiert werden. Sie ist jedoch zu erwarten, da die Dauer bis zum Auftreten von Fernmetastasen von 14,6 auf 23,2 Monate verlängert wurde.
Dies sind für ein fortgeschrittenes Bronchialkarzinom ungewöhnlich günstige Ergebnisse, die die Arzneimittelbehörden vermutlich zu einer Zulassung bewegen werden. Die US-amerikanische FDA hat dem Präparat kürzlich den Status einer „Breakthrough Designation“ verliehen, die die Einführung des Präparates beschleu­nigen dürfte. Bei der Europäischen Arzneimittel-Agentur ist ebenfalls ein Antrag anhängig.
Die Verträglichkeit von Durvalumab war für die meisten Patienten akzeptabel. Neben­wirkungen vom Grad 3/4 traten bei 32,0 Prozent der Patienten gegenüber 27,8 Prozent der Patienten in der Placebo-Gruppe auf. Die häufigsten schweren Nebenwirkungen war eine Pneumonitis, die 6,4 Prozent der Patienten bewog, die Durvalumab-Behandlung abzubrechen gegenüber 1,1 Prozent in der Placebogruppe. © rme/aerzteblatt.de",2017-09-12 00:00:00,"Tampa/Florida – Der PD-L1-Inhibitor Durvalumab, der verhindern soll, dass Tumore sich der natürlichen Immunabwehr entziehen, hat in einer Phase-3-Studie das... #Lungenkrebs",de,0,https://www.aerzteblatt.de/nachrichten/78195/Lungenkrebs-Durvalumab-verlaengert-progressionsfreies-Ueberleben-im-Stadium-III-des-NSCLC
Atezolizumab,"""Tecentriq""",2017,10,Checkpoint-Inhibitor Atezolizumab verlängert Leben bei...,"Lungenkrebs mikroskopischer Schnitt /dpa
Sacramento – Der monoklonale Antikörper Atezolizumab, der zu den sogenannten Check­point-Inhibitoren gehört, die die körpereigene Abwehr gegen Krebszellen verstär­ken, hat in einer Phase-3-Studie im Lancet (2016; doi: 10.1016/S0140-6736(16)32517-X) die Überlebenszeit von Patienten mit nicht-kleinzelligem Bronchialkarzinom (NSCLC) verlängert und sich dabei als verträglicher erwiesen als die derzeitige Chemotherapie. Die Ergebnisse haben in den USA zu einer Zulassungserweiterung des Medikaments Tecentriq geführt, das in Europa noch nicht verfügbar ist.
Atezolizumab bindet am Programmed Cell Death Ligand 1 (PD-L1), der sich auf der Oberfläche von Krebszellen befindet. Bei einem Angriff von T-Zellen bindet PD-L1 an einem Rezeptor auf der T-Zelle. Dies kann den Angriff der T-Zelle beenden. Weil Atezolizumab an PD-L1 bindet, ist die Kommunikation mit dem Rezeptor unterbrochen. Der Schutzschild wird aufgehoben und es kommt zu einen ungebremsten Angriff der T-Zellen auf den Tumor.
Anzeige
Der Antikörper gehört damit zu einer Gruppe von neuen Wirkstoffen, die als Checkpoint-Inhibitoren die Immunabwehr gegen Tumore stärken und damit häufig bessere Ergeb­nisse erzielen als eine konventionelle Chemotherapie. Gleichzeitig unterscheidet sich Atezolizumab von den bereits eingeführten Checkpoint-Inhibitoren Nivolumab und Pembrolizumab. Atezolizumab blockiert den Liganden, Nivolumab und Pembrolizumab blockieren den PD-1-Rezeptor. Dies könnte von Bedeutung sein, da der Ligand PD-L1 auch an anderen Rezeptoren wie B7-1 bindet. Die Blockade des Liganden könnte deshalb eine breitere Wirkung haben als die Blockade des PD-1-Rezeptors.
Nivolumab und Pembrolizumab sind bereits erfolgreich bei Patienten mit NSCLC getestet worden. Ihr Einsatzgebiet ist die Zweitlinientherapie nach dem Versagen einer Taxan-basierten Chemotherapie, die seit den 1980er-Jahren Standard in der Erst­linientherapie des fortgeschrittenen NSCLC ist. In der Zweitlinientherapie wird derzeit Docetaxel eingesetzt. Nivolumab hat in klinischen Studien die Überlebenszeiten gegenüber Docetaxel beim Plattenepithel-NSCLC von 6,0 auf 9,2 Monate und beim Nicht-Plattenepithel-NSCLC von 9,4 auf 12,2 Monate verlängert. Pembrolizumab verlängerte die Überlebenszeit beim NSCLC von 8,5 auf 10,4 Monate.
Jetzt liegen die Ergebnisse der entsprechenden Studie zu Atezolizumab vor. Die OAK-Studie hatte 1.225 Patienten mit fortgeschrittenem NSCLC nach Versagen einer Taxan-basierten Chemotherapie auf eine Behandlung mit Docetaxel (75 mg/m2 intravenös) oder Atezolizumab (1.200 mg intravenös) randomisiert. Nach den jetzt vom Team um David Gandara, UC Davis Comprehensive Cancer Center in Sacramento, vorgestellten Ergebnissen verlängert Atezolizumab die mediane Überlebenszeit von 9,6 auf 13,8 Monate. Die Hazard Ratio von 0,73 war mit einem 95-Prozent-Konfidenzintervall von 0,62 bis 0,87 signifikant.
Eine Besonderheit der Studienergebnisse ist, dass Atezolizumab nicht nur bei Patienten mit hoher PD-L1-Expression wirksam war. In dieser Gruppe wurde die mediane Über­lebenszeit signifikant von 10,3 auf 15,7 Monate verlängert. Auch bei Patienten mit sehr geringer oder fehlender PD-L1-Expression wurde ein Effekt erzielt: Die mediane Über­lebenszeit stieg signifikant von 8,9 auf 12,6 Monate.
Atezolizumab wurde aufgrund der Ergebnisse der OAK- und der vorausgegangenen Phase-2-Studie POPLAR im Oktober von der US-amerikanischen Arzneimittelbehörde (FDA) zugelassen. Es ist dort nach dem Urothelkarzinom die zweite Indikation.
Atezolizumab ist deutlich besser verträglich als Docetaxel. Der Anteil von Patienten mit Nebenwirkungen vom Grad 3 oder 4 war in der Atezolizumab-Gruppe mit 15 Prozent deutlich niedriger als in der Docetaxel-Gruppe mit 43 Prozent. Die häufigsten schweren Nebenwirkungen von Atezolizumab sind laut FDA Dyspnoe, Pneumonie, Hypoxie, Hyponatriämie, Müdigkeit, Anämie, Schmerzen im Bewegungsapparat, ein Anstieg der Leberenzyme AST oder ALT, Dysphagie und Arthralgie. Klinisch signifikante immuno­logische Nebenwirkungen waren Pneumonitis, Hepatitis, Colitis und Schilddrüsen­erkrankungen. © rme/aerzteblatt.de",2016-12-15 00:00:00,"Sacramento – Der monoklonale Antikörper Atezolizumab, der zu den sogenannten Checkpoint-Inhibitoren gehört, die die körpereigene Abwehr gegen Krebszellen...",de,0,https://www.aerzteblatt.de/nachrichten/72033/Checkpoint-Inhibitor-Atezolizumab-verlaengert-Leben-bei-nicht-kleinzelligem-Lungenkrebs
Atezolizumab,"""Tecentriq""",2017,10,Neue Arzneimittel treiben Roche an,"/dpa
Basel – Der Schweizer Pharmakonzern Roche bleibt dank neuer Medikamente im Aufwind. Konzernchef Severin Schwan sieht den Konzern damit nach neun Monaten weiter auf Kurs zu den – bereits zweimal angehobenen – Jahreszielen, wie aus einer heutigen Mitteilung des Unternehmens hervorgeht.
Der Pharmakonzern peilt im Gesamtjahr ein Umsatzplus im mittleren einstelligen Prozentbereich an, der bereinigte Gewinn je Aktie soll sogar um etwa 15 Prozent steigen, Dabei hatte Schwan ursprünglich auf ein Übergangsjahr eingestellt, doch einige neu zugelassene Medikamente entpuppen sich zunehmend als Motor.
Anzeige
Zwischen Januar und September legte der Umsatz um 7 Prozent auf knapp 42,1 Milliarden Schweizer Franken (36,7 Mrd Euro) zu. Den Schub verdankte Roche vor allem neu eingeführten Arzneimitteln wie Ocrevus (Multiple Sklerose) und den Krebsmedikamenten Perjeta, Alecensa und Tecentriq.
In einer Telefonkonferenz stellte Schwan klar, dass es bei Roche keine Pläne für einen Stellenabbau gebe. „Wir haben die Zahl unserer Mitarbeiter unter dem Strich recht konstant gehalten und planen das auch in Zukunft.“ © dpa/aerzteblatt.de",2018-10-17 00:00:00,Basel – Der Schweizer Pharmakonzern Roche bleibt dank neuer Medikamente im Aufwind. Konzernchef Severin Schwan sieht den Konzern damit nach neun Monaten weiter...,de,0,https://www.aerzteblatt.de/nachrichten/98565/Neue-Arzneimittel-treiben-Roche-an
Atezolizumab,"""Tecentriq""",2017,10,FDA und EMA warnen vor unkritischem Einsatz von...,"/Sebastian Kaulitzki, stockadobecom
Silver Spring/London – Die beiden Checkpointinhibitoren Pembrolizumab und Atezolizumab dürfen in der Ersttherapie des metastasierenden Urothelkarzinoms nur noch eingesetzt werden, wenn eine erhöhte PD-L1-Expression nachgewiesen wurde. Dies haben die US-amerikanische Food and Drug Administration (FDA) und die Europäische Arzneimittel-Agentur (EMA) verfügt, nachdem es in 2 randomisierten Studien zu vorzeitigen Todesfällen gekommen war.
Pembrolizumab und Atezolizumab verdanken ihre Wirkung der Blockade des PD-L1-Signalwegs, über den Krebszellen die Immunabwehr ausbremsen. Diese Therapie kann im Prinzip nur erfolgreich sein, wenn die Krebszellen PD-L1 exprimieren. Dies ist offenbar bei der Planung von 2 klinischen Studien zu Pembrolizumab (KEYNOTE-361) und Atezolizumab (IMVIGOR-130) nicht ausreichend beachtet worden.
Anzeige
Beide Studien verglichen die Checkpointinhibitoren an Patienten mit Urothelkarzinom in der Ersttherapie mit einer platinbasierten Chemotherapie, die in dieser Indikation der Therapiestandard ist. Bei einer Zwischenauswertung zeigte sich, dass die Patienten unter der Behandlung mit Pembrolizumab und Atezolizumab früher starben als unter der Chemotherapie, wenn ihre Tumore nur wenig PD-L1 exprimierten.
FDA und EMA warnen deshalb vor dem Einsatz der beiden Checkpointinhibitoren bei Patienten mit niedriger PD-L1-Expression. Die Warnung betrifft die Ersttherapie, für die beide Medikamente derzeit nicht vorgesehen sind. Standard ist eine Cisplatin-basierte Therapie. Nur wenn diese ihr Ziel nicht erreicht hat oder wenn die Patienten für eine Cisplatin-basierte Therapie nicht geeignet sind, wird derzeit eine Monotherapie mit Pembrolizumab und Atezolizumab empfohlen. © rme/aerzteblatt.de",2018-06-06 00:00:00,Silver Spring/London – Die beiden Checkpointinhibitoren Pembrolizumab und Atezolizumab dürfen in der Ersttherapie des metastasierenden Urothelkarzinoms nur noch... #Urothelkarzinom #Pembrolizumab #Atezolizumab,de,0,https://www.aerzteblatt.de/nachrichten/95632/Urothelkarzinom-FDA-und-EMA-warnen-vor-unkritischem-Einsatz-von-Pembrolizumab-und-Atezolizumab
Avelumab,"""Bavencio""",2017,10,Merck erhält EU-Zulassung für Bavencio,"Darmstadt – Der Darmstädter Chemie- und Pharmakonzern Merck darf seine Krebsimmuntherapie Bavencio nun auch in Europa vertreiben. Der Konzern erhielt von der EU eine Zulassung für das Mittel zur Behandlung eines aggressiven und seltenen Hautkrebses, wie Merck heute in Darmstadt mitteilte.
Erste Markteinführungen seien in Deutschland und Großbritannien bereits im Oktober zu erwarten. Neben der EU würde das auch unter dem Namen Avelumab bekannte Medikament auch in Island, Liechtenstein und Norwegen auf den Markt gebracht.
Anzeige
Bavencio ist der größte Hoffnungsträger in der Pharmasparte von Merck, die lange unter einer Durststrecke litt. Im März war Bavencio schon in den Vereinigten Staaten als erstes Mittel überhaupt zur Behandlung des metastasierten Merkelzellkarzinoms zugelassen worden.
Die EU-Freigabe des Medikaments, das Merck zusammen mit dem US-Pharmariesen Pfizer entwickelt hat, kommt nun nicht unerwartet. Der Darmstädter Konzern erhofft sich hohe Umsätze mit Bavencio, da sich Tests zur Behandlung weiterer Krebsarten in der letzten klinischen Stufe befinden. Eine Indikation gegen einen Tumor im Harntrakt ist zudem schon in den USA zugelassen. © dpa/aerzteblatt.de",2017-09-22 00:00:00,Darmstadt – Der Darmstädter Chemie- und Pharmakonzern Merck darf seine Krebsimmuntherapie Bavencio nun auch in Europa vertreiben. Der Konzern erhielt von der EU...,de,0,https://www.aerzteblatt.de/nachrichten/79448/Merck-erhaelt-EU-Zulassung-fuer-Bavencio
Avelumab,"""Bavencio""",2017,10,Warum die Krebsimmuntherapie nicht immer erfolgreich ist,"/dpa
Bethesda – Ein aufwendiges Screening aller bekannten 19.000 Protein-kodierenden Gene von Krebszellen hat eine Liste von Genen zu Tage befördert, die in Melanom-Zellen intakt sein müssen, damit eine Immuntherapie erfolgreich sein kann. Die in Nature (2017; doi: 10.1038/nature23477) vorgestellten Ergebnisse könnten die Entwicklung einer Resistenz der Tumorzellen vorhersehbar machen.
Die Immuntherapie hat die Behandlung von Krebserkrankungen in den letzten Jahren verändert. Anders als Zytostatika greifen Immuntherapeutika wie Ipilimumab oder Nivolumab die Krebszellen nicht direkt an. Sie versetzen vielmehr die körpereigenen Immunzellen in die Lage, die Krebszellen zu attackieren. Der Hauptakteur sind T-Zellen, die die Tumorzellen an den Neoantigenen erkennen, die sich als Folge der vielen Mutationen im Krebsgenom auf der Oberfläche der Zellen bilden.
Anzeige
Die Immuntherapie wirkt aber nicht bei allen Patienten. Einige sprechen von Anfang an nicht auf die Therapie an, bei anderen kommt es im Verlauf der Behandlung zu einer Resistenz. Um die Ursachen zu ergründen, hat das US-National Cancer Institute ein groß angelegtes Screening begonnen. Ein Team um Nicholas Restifo hat mit dem Genom-Editor CRISPR in Zellkulturen einzelne Gene (durch Mutationen) ausgeschaltet und dann in einem Assay untersucht, ob die Zellen weiterhin von T-Zellen angegriffen werden.
Dabei wurden mehr als hundert Gene entdeckt, die in der Melanom-Zelle intakt sein müssen, damit T-Zellen sie erkennen. Um zu prüfen, welche dieser Gene in der Krebsbehandlung eine Rolle spielen, haben die Forscher die Liste mit dem Cancer Genome Atlas (TCGA) abgeglichen. Er enthält die Gendaten von mehr als 11.000 Patienten, die an 36 verschiedenen Krebsarten erkrankt waren. In 19 Genen gab es eine Übereinstimmung. Diese Gene müssen offenbar vorhanden sein, damit T-Zellen eine „zytolytische Aktivität“ entfalten, sprich die Krebszellen zerstören.
Einige Gene gehören zum HLA-System, das Teil des immunologischen „Ausweises“ der Zellen sind. T-Zellen erkennen daran, dass es sich um eine Zelle handelt, die überprüft und gegebenenfalls vernichtet werden muss. Andere Gene betreffen Interferon gamma. Mit diesem Botenstoff können T-Zellen andere Immunzellen zur Unterstützung der Krebsabwehr rekrutieren.
Es gab jedoch auch Gene, deren Rolle in der Krebsabwehr bisher nicht bekannt war. Dazu gehört beispielsweise das Gen APLNR. Es enthält die Information für den Apelin-Rezeptor. Seine genaue Funktion ist nicht bekannt. Die neue Studie zeigt, dass ein defekter oder fehlender Apelin-Rezeptor die Immunantwort auf den Krebs lahm legen kann.
Klinische Auswirkungen haben die neuen Studienergebnisse vorerst nicht. Mittelfristig könnten sie jedoch Grundlage für einen Gentest sein, mit dem sich die Aussichten der Immuntherapie bei den einzelnen Patienten vorhersagen lassen könnten.
© rme/aerzteblatt.de",2017-08-08 00:00:00,"Bethesda – Ein aufwendiges Screening aller bekannten 19.000 Protein-kodierenden Gene von Krebszellen hat eine Liste von Genen zu Tage befördert, die in...",de,0,https://www.aerzteblatt.de/nachrichten/77491/Warum-die-Krebsimmuntherapie-nicht-immer-erfolgreich-ist
Avelumab,"""Bavencio""",2017,10,Immuntherapie mit PD-L1-Hemmer bei Blasenkrebs erfolgreich,"London – Das Urothelkarzinom der Blase scheint auf die Immuntherapie mit sogenannten PD-L1-Antagonisten ausgesprochen gut anzusprechen. In einer Phase 1-Studie in Nature (2014; 515: 558–562) wurden bei austherapierten Patienten mit dem experi­mentellen Wirkstoff MPDL3280A langdauernde Remissionen erzielt – sofern der Tumor das Merkmal PD-L1 trug. Nachdem die US-Arzneibehörde FDA dem Wirkstoff eine „Breakthrough Therapy Designation“ zugeschrieben hat, hofft der Hersteller auf eine baldige Zulassung.
Dass Urothelkarzinome für eine Immuntherapie geeignet sind, zeigen die guten Erfahrungen, die in den letzten Jahrzehnten mit der BCG-Behandlung gemacht wurden. Die Instillation des abgeschwächten Tuberkulose-Erregers Bacillus Calmette-Guérin (BCG), der ursprünglich als Impfstoff eingeführt wurde, löst eine relativ unspezifische Immunantwort gegen den Tumor aus, die die Wirkung der Chemotherapie unterstützt.
Wesentlich spezifischer – und auch raffinierter – ist der Angriff von PD-L1-Antagonisten. Bei PD-L1 (für: Programed Death Ligand-1) handelt es sich vermutlich um einen Selbst­schutz des Körpers gegen Autoimmunreaktionen. Die Liganden, die sich normalerweise auf Antigen-präsentierenden Zellen befinden, sollen gezielt T-Zellen ausschalten, die körpereigenen Zellen gefährlich werden könnten. Studien haben gezeigt, dass auch einige Krebstumore diese Möglichkeit nutzen. Sie exprimieren PD-L1 und verhindern dadurch eine Vernichtung durch die Immunabwehr. Der Wirkstoff MPDL3280A, den die zum Roche-Konzern gehörende Firma Genentech entwickelt hat, soll dies verhindern.
Anzeige
Ein Team um Tom Powles vom Barts Cancer Institute in London hat MPDL3280A in einer multizentrischen Phase 1-Studie an 68 Patienten mit Urothelkarzinom der Blase erprobt. Alle Patienten litten an fortgeschrittenem Blasenkrebs, und bei allen hatten (teilweise mehrere) Chemotherapien versagt. Vor Therapiebeginn mit MPDL3280A wurden Gewebe­proben des Tumors auf die Bildung von PD-L1 untersucht.
30 Patienten wurde aufgrund eines immunhistochemischen Tests als PD-L1-positiv eingestuft. Von diesen 30 Patienten erzielten 13 (43 Prozent) unter der Therapie mit MPDL3280A, die alle drei Wochen wiederholt wurde, eine Remission. Bei zwei Patienten (7 Prozent) war die Remission sogar komplett. Unter den Patienten, deren Tumor PD-L1 nicht bildete, erzielten nur 4 von 35 (11 Prozent) eine Teilremission. Median vergingen 42 Tage bis zum Ansprechen des Tumors auf die Therapie. Die Remissionen hielten bis zu 30 Wochen an.
Die Verträglichkeit scheint gut zu sein: Mit 39 von 86 Patienten klagte zwar jeder zweite über die eine oder andere Nebenwirkung. Am häufigsten waren verminderter Appetit (12 Prozent), Müdigkeit (12 Prozent), Übelkeit (12 Prozent), Fieber (9 Prozent) und eine körperliche Schwäche (Asthenie, 7 Prozent). Ein Schweregrad 3 oder 4 trat jedoch nur in drei Fällen auf: Dies waren jeweils einmal eine allgemeine Schwäche (Asthenie), eine Thrombozytopenie oder eine Hypophosphatämie.
Auch wenn die Aussagekraft einer Phase 1-Studie sicherlich begrenzt ist, sieht Powles in der Studie einen wichtigen Schritt auf dem Weg zu einer neuen Behandlungsmöglichkeit beim fortgeschrittenen Blasenkrebs, bei dem eine chirurgische Therapie wegen der Folgen auf die Lebensqualität des Patienten häufig vermieden wird und die Chemo­therapie seit Jahrzehnten nur begrenzte Erfolge zu verzeichnen hat. Der Hersteller prüft MPDL3280A derzeit auch bei anderen Krebserkrankungen. © rme/aerzteblatt.de",2014-11-28 00:00:00,London – Das Urothelkarzinom der Blase scheint auf die Immuntherapie mit sogenannten PD-L1-Antagonisten ausgesprochen gut anzusprechen. In einer Phase 1-Studie...,de,0,https://www.aerzteblatt.de/nachrichten/61048/Immuntherapie-mit-PD-L1-Hemmer-bei-Blasenkrebs-erfolgreich
Avelumab,"""Bavencio""",2017,10,Merck rettet Gewinn mit Anteilsverkauf,"Darmstadt – Harte Konkurrenz im Geschäft mit Flüssigkristallen und höhere Forschungskosten haben beim Pharma- und Spezialchemiekonzern Merck das dritte Quartal überschattet. Gegenwind kommt auch zunehmend durch Währungseffekte. Nur dank eines Anteilsverkaufs stieg unter dem Strich der Gewinn, im eigentlichen Geschäft lief es schlechter. Konzernchef Stefan Oschmann hält gleichwohl an seinen Zielen für das laufende Jahr fest, wie der Dax-Konzern heute in Darmstadt bekanntgab.
Von Juli bis September stiegen die Erlöse leicht um 0,1 Prozent und hielten sich mit 3,7 Milliarden Euro damit auf Vorjahresniveau. Trotz Zuwächsen wirkte sich im Wesentlichen der gegenüber dem Euro schwächere Dollar aus. Das um Sondereffekte bereinigte Ergebnis vor Steuern, Zinsen und Abschreibungen (Ebitda) sank um mehr als 8 Prozent auf 1,1 Milliarden Euro.
Konkurrenz aus China
Unter dem Strich stieg der Gewinn um rund 41 Prozent auf 645 Millionen Euro. Grund war insbesondere der Verkauf des Geschäfts mit biopharmazeutisch hergestellten Arzneien an Fresenius. Der Gesundheitskonzern aus Bad Homburg hatte Merck im September dafür 656 Millionen Euro gezahlt. Weitere Zahlungen von bis zu 500 Millionen Euro sind an Entwicklungsziele geknüpft.
Anzeige
Merck steht im Geschäft mit Flüssigkristallen etwa für Displays von Smartphones unter starkem Konkurrenzdruck. Dort müssen die Darmstädter ihre lange Zeit unangefochtene Marktführerschaft gegen Wettbewerber aus China verteidigen. Merck hatte wegen der Probleme im Flüssigkristallgeschäft bereits zur Halbjahresbilanz seine Umsatzerwartungen gesenkt, die Gewinnziele aber beibehalten.
In der Pharmasparte gehen zudem die Umsätze mit alten Kassenschlagern wie Rebif (Multiple Sklerose) und Erbitux (Krebs) zurück. Der Konzern investiert daher viel Geld in die Erforschung neuer Wirkstoffe und konnte bei dem Multiple-Sklerose-Medikament Mavenclad und dem Krebs-Mittel Bavencio Zulassungserfolge vermelden. Im Geschäft mit Produkten für die Pharmaforschung hat sich indes die Übernahme des US-Laborausrüsters Sigma Aldrich ausgezahlt. Dabei läuft die Eingliederung planmäßig.
Im September stellte Merck sein Geschäft mit rezeptfreien Medikamenten wie Nasensprays und Vitaminpräparaten zur Disposition. „Dort spielt Größe eine Rolle, bei uns alleine wäre das Geschäft nicht richtig für die Zukunft aufgestellt“, betonte Oschmann nun. Von einem möglichen Verkauf der Sparte wären weltweit 3.800 Mitarbeiter betroffen, in Deutschland rund 280. Arbeitnehmervertreter haben daher bereits auf ihr Mitspracherecht gepocht.
Für 2017 erwartet Merck weiter Umsätze zwischen 15,3 und 15,7 Milliarden Euro und ein Ergebnis vor Steuern, Zinsen und Abschreibungen vor Sondereinflüssen von 4,4 bis 4,6 Milliarden Euro, rechnet aber jeweils mit Werten am unteren Ende der Spanne. © dpa/aerzteblatt.de",2017-11-09 00:00:00,Darmstadt – Harte Konkurrenz im Geschäft mit Flüssigkristallen und höhere Forschungskosten haben beim Pharma- und Spezialchemiekonzern Merck das dritte Quartal...,de,0,https://www.aerzteblatt.de/nachrichten/83374/Merck-rettet-Gewinn-mit-Anteilsverkauf
Avelumab,"""Bavencio""",2017,10,Spekulationen um hohe Erlöse für rezeptfreie Arzneimittelsparte von...,"Frankfurt am Main – Das ins Schaufenster gestellte Geschäft mit rezeptfreien Medikamenten des Darmstädter Merck-Konzerns scheint auf großes Interesse zu stoßen. Zu den Bietern in der ersten Runde hätten der Lebensmittelkonzern Nestlé, der Konsumgüterkonzern Reckitt-Benckiser und der Arzneimittelhersteller Mylan gezählt, wie die Nachrichtenagentur Bloomberg gestern unter Berufung auf eingeweihte Personen.
Die Sparte könnte demnach bis zu fünf Milliarden US-Dollar oder umgerechnet 4,2 Milliarden Euro einbringen. Das wäre etwas mehr als zuletzt erwartet. Die Merck KGaA hatte das Geschäft mit rezeptfreien Arzneien wie Nasensprays und Vitaminpräparaten im September zur Disposition gestellt und erwägt verschiedene Optionen von Partnerschaften bis zum Verkauf. Zuletzt verdichteten sich die Hinweise auf eine Veräußerung.
Anzeige
Bloomberg nannte auch die Branchengröße Perrigo sowie das Finanzinvestorenduo Bain und Cinven als Bieter. Letztere hatten erst im Sommer die Kontrolle über den Bad Vilbeler Pharmahersteller Stada übernommen. Es sei denkbar, dass die Finanz­investoren das Merck-Geschäft erwerben würden, um es später an den MDax-Konzern anzudocken, hieß es aus Finanzkreisen.
Bain und Cinven hatten stets betont, dass sie für die Expansion von Stada auch auf Übernahmen setzen. Die rezeptfreien Medikamente von Merck würden Experten zufolge gut in das Portfolio passen. Stada verkauft neben Nachahmermedikamenten verschreibungsfreie Arzneien etwa gegen Erkältungen, Vitaminmangel und Prostata-Erkrankungen.
Merck erzielte 2016 mit rezeptfreien Arzneien einen Umsatz von 860 Millionen Euro. Analysten beziffern den Wert des Bereichs auf rund vier Milliarden Euro. Weltweit wären von einem möglichen Verkauf 3.800 Mitarbeiter betroffen, in Deutschland rund 280. Eine Entscheidung soll dem Pharma- und Chemiekonzern zufolge Anfang 2018 fallen. © dpa/aerzteblatt.de",2017-12-15 00:00:00,Frankfurt am Main – Das ins Schaufenster gestellte Geschäft mit rezeptfreien Medikamenten des Darmstädter Merck-Konzerns scheint auf großes Interesse zu stoßen....,de,0,https://www.aerzteblatt.de/nachrichten/87065/Spekulationen-um-hohe-Erloese-fuer-rezeptfreie-Arzneimittelsparte-von-Merck
